"","Genes","FC.Value","log2.of.FC"
"110","AFFX-DapX-5_at",119.400933680321,6.89967030787411
"111","AFFX-DapX-M_at",583.593147719758,9.1888191336735
"112","AFFX-LysX-3_at",235.14683281372,7.87741809048131
"113","AFFX-LysX-5_at",22.560390154602,4.49572011250183
"114","AFFX-LysX-M_at",199.657968389211,7.64138684114059
"115","AFFX-PheX-3_at",274.314277988603,8.09968590582625
"116","AFFX-PheX-5_at",67.6488040723042,6.07999252466631
"117","AFFX-PheX-M_at",377.764926266379,8.56134495012857
"118","AFFX-r2-Bs-dap-3_at",3384.23275782407,11.72461308096
"119","AFFX-r2-Bs-dap-5_at",173.965541263822,7.44265775808412
"120","AFFX-r2-Bs-dap-M_at",1482.22816530715,10.5335518292157
"121","AFFX-r2-Bs-lys-3_at",143.077595097609,7.16065396405981
"122","AFFX-r2-Bs-lys-M_at",126.937168409621,6.98797075563504
"123","AFFX-r2-Bs-phe-3_at",220.892645677383,7.78720157668254
"124","AFFX-r2-Bs-phe-5_at",41.8458525286317,5.38701273479825
"125","AFFX-r2-Bs-phe-M_at",175.150711611736,7.45245303938565
"126","AFFX-r2-Bs-thr-3_s_at",1537.41921697903,10.586294891325
"127","AFFX-r2-Bs-thr-5_s_at",24.877753101546,4.63678428551509
"128","AFFX-r2-Bs-thr-M_s_at",172.598157464515,7.43127325318502
"129","AFFX-ThrX-3_at",880.354286857328,9.78194042378604
"130","AFFX-ThrX-5_at",48.6070671155624,5.60309418137993
"131","AFFX-ThrX-M_at",202.593038410414,7.6624407902547
