"","Gene","p.value","Adjusted.p.value"
"99","235358_at",1.25725222254083e-07,0.00686082537840531
"100","235753_at",5.36901394017757e-11,2.93314600565841e-06
"101","235994_s_at",6.48485520436533e-10,3.5419630640723e-05
"102","236049_at",4.71966526104225e-18,2.57991062164352e-13
"103","236118_at",2.88234931171589e-09,0.000157390684166246
"104","236199_at",6.63334670217648e-09,0.000362187363285538
"105","236730_at",1.20552713236162e-21,6.59013462176806e-17
"106","236977_at",1.53344391677292e-16,8.38195779347247e-12
"107","237494_at",1.07753103375284e-09,5.88493574084115e-05
"108","237641_at",5.58446467729507e-08,0.00304800082086765
"109","238052_at",3.57160091841143e-09,0.000195023696548938
"110","239226_at",8.54996465046708e-35,4.67460767299637e-30
"111","239522_at",1.2838709236892e-07,0.00700595524347959
"112","240199_x_at",1.00423364810208e-09,5.48472249247434e-05
"113","241087_at",3.67510528498648e-12,2.00818778087516e-07
"114","242415_at",4.33079426400829e-15,2.36695229705109e-10
