ID_REF,GSM300173,GSM300177,GSM300181,GSM300186,GSM300189,GSM300192,GSM300196,GSM300204,GSM300208,GSM300214,GSM300218,GSM300222,GSM300228,GSM300230,GSM300234,GSM300238,GSM300242,GSM300248,GSM300252,GSM300258,GSM300261,GSM300267,GSM300271,GSM300275,GSM300279,GSM300285,GSM300289,GSM300293,GSM300297,GSM300300,GSM300304,GSM300308,GSM300312,GSM300316,GSM300320,GSM300324,GSM300328,GSM300332,GSM300338,GSM1176196,GSM1176197,GSM1176198,GSM1176199,GSM1176200,GSM1176201,GSM1176202,GSM1176203,GSM1176204,GSM1176205,GSM1176206,GSM1176207,GSM1176208,GSM1176209,GSM1176210
1570568_at,1.1144359,1.1041888,1.019938,1.2721303,1.0829543,1.1066892,1.1241426,1.1048131,1.0547453,0.98535,1.2450821,1.1350032,1.1395054,1.069966,1.07037,1.0464263,1.3130665,1.0487967,1.0035346,1.171747,1.049192,1.0307628,1.1054384,1.091975,1.1150666,1.0334868,1.1775056,1.08807,1.2192975,1.01323,1.1640418,1.0565361,1.1290275,1.1882086,1.1358596,1.0292091,0.99393225,1.0537515,1.1002408,1.5470424,1.4926083,1.5310827,1.1381228,1.4985299,1.179335,1.5279119,1.5213017,1.3509325,1.7863765,1.5256091,1.5368676,1.4811147,1.2201899,1.5785662
201402_at,1.5302033,1.4471514,1.4677584,1.569352,1.4774756,1.5380119,1.5572684,1.5050251,1.4897823,1.4384471,1.5333799,1.5764692,1.6290396,1.4850152,1.4895015,1.4338442,1.5499458,1.5333796,1.4589299,1.7793006,1.4539877,1.4316837,1.5572685,1.559913,1.6951469,1.443337,1.6001241,1.494282,1.6481925,1.4392612,1.5678741,1.4603064,1.5092877,1.5446947,1.5587372,1.4625101,1.4597559,1.4600314,1.5467354,1.4292532,1.4044127,1.5161282,1.34751,1.3450723,1.4085095,1.3493894,1.3529558,1.464714,1.4408869,1.382087,1.3857397,1.405207,1.4313443,1.424143
205075_at,0.79978067,0.5749199,0.67534965,0.8026506,0.85497755,0.8091838,0.8707564,0.7952698,0.79063594,0.748994,0.8076598,0.82785493,0.7945205,0.7829228,0.84138644,0.7569429,0.8140802,0.8110165,1.0296363,0.84265584,0.8660085,0.75026584,0.8183888,0.7550905,0.8078123,0.75040734,0.8320795,0.78899777,0.8417038,1.0994526,0.825206,0.7669986,0.79332334,0.8131597,0.8131599,0.7696057,0.7694609,0.7964705,0.8041652,0.5784585,0.51213044,0.5838264,0.6589586,0.56434757,0.689571,0.5774779,0.5757387,0.5633905,0.60068554,0.6992599,0.5763899,0.5883569,0.7131896,0.5966226
205468_s_at,1.1677164,1.0985248,1.1257801,1.2720634,1.1383724,1.1661764,1.2836273,1.5943928,1.1234481,1.0346024,1.1787758,1.2075671,1.1798872,1.1377286,1.2282307,1.0390979,1.1993989,1.1513219,1.175447,1.250662,1.1221777,1.0794324,1.2694284,1.1037142,1.2007567,1.014515,1.2303172,1.2012088,1.341269,1.0966623,1.2050658,1.1097652,1.0394899,1.3294363,1.2137294,1.0894496,1.121121,1.126205,1.1723491,1.3202335,1.329725,1.3135293,1.2023476,1.2788333,1.2454138,1.3137777,1.3014524,1.2687464,1.3776994,1.3078467,1.4282116,1.3202327,1.3314328,1.3619462
206097_at,0.71247333,0.66975135,0.6782646,0.72357297,0.6948311,0.7067209,0.7181372,0.69679844,0.6941765,0.6618436,0.78912365,0.7248019,0.6998267,0.68365633,0.68909127,0.6250965,1.0464357,0.69483095,0.6730421,0.75478345,0.66798574,0.6553872,0.85850585,0.71503,0.71786654,0.6505859,0.7362327,0.6944379,0.8191369,0.65600514,0.72534895,0.6735499,0.69587964,0.7226187,0.7194923,0.6658482,0.6741853,0.67164785,0.70752096,0.9145695,0.8649312,0.8510205,0.8250524,0.93267846,0.86305404,0.8255784,0.7511713,0.8301043,0.8847216,0.8484576,0.8527876,0.8657467,0.88571715,0.8754303
206227_at,1.3383381,1.2692845,1.2628399,1.6564059,1.3054444,1.3188019,1.3375812,1.3042138,1.3074148,1.2415936,1.4148786,1.4736836,1.3121057,1.2842073,1.2842077,1.2190948,1.3469441,1.2919782,1.244171,1.4071636,1.3730958,1.2322661,1.4456159,1.3322964,1.3398528,1.2467538,1.375169,1.3071676,1.4066336,1.2397225,1.354329,1.2654614,1.3138384,1.3540728,1.3553503,1.2519352,1.0535765,1.2652228,1.3188022,1.0727637,1.0915322,1.1605016,1.0987647,1.2041864,1.1361846,1.0833318,1.080273,1.0533241,1.0301509,1.0831274,1.1394727,1.1060319,1.156791,1.1125149
206657_s_at,0.6939416,0.64950836,0.67104113,0.7533912,0.68989795,0.7040885,0.716137,0.7014385,0.6340226,0.64938575,0.707015,0.72442013,0.7271563,0.6794427,0.68407,0.63930345,0.71816504,0.62748235,0.67116743,0.7514052,0.6733221,0.661121,0.71465343,0.74365455,0.72278327,0.5507361,0.74253416,0.68239516,0.7662833,0.64389986,0.721694,0.6687675,0.7347354,0.7318325,0.72825444,0.6522075,0.67192733,0.677141,0.70302755,0.5653261,0.5860535,0.57294375,0.5697534,0.55633944,0.6377639,0.5876023,0.5807744,0.55591965,0.6138731,0.58066446,0.58993316,0.5901556,0.64785796,0.6000281
206658_at,1.1675653,1.0801071,1.1203418,1.3014919,1.1546506,1.1629518,1.1915816,1.159449,1.1436025,1.0764477,1.1717552,1.2017337,1.079089,1.1283966,1.1444651,1.0868471,1.2010539,1.0954874,1.113813,1.2547508,1.2961053,1.3923638,1.180625,1.2108297,1.1983399,1.0007074,1.1477064,1.1328726,1.2661574,1.0852094,1.2071837,1.1100403,1.1715341,1.1994696,1.200828,1.0884879,1.115074,1.1169673,1.177069,1.0607545,1.0784993,1.0478345,0.96622044,1.0157429,1.0232309,1.1031765,1.0679787,1.0184268,1.1129949,1.0623554,1.0901511,1.0797198,1.0072877,1.105258
206718_at,1.5125263,1.2390219,1.2422961,1.570053,1.3140868,1.372838,1.8645952,1.4957951,1.473406,1.4538145,1.5091087,1.5448029,1.5918097,1.5311748,1.282756,1.3798429,1.5384089,1.615086,1.3918612,1.6126516,1.4325933,1.1715527,1.8751712,1.5727193,1.5355116,1.7177848,1.8481475,2.0683115,1.6129565,1.3627805,1.977188,1.3876691,1.5085394,1.6946261,2.7577689,1.3175591,1.4377342,1.385578,1.5113864,1.002906,0.9095959,1.0322542,1.0872228,0.9959345,1.222079,0.8479903,0.9981902,1.0145053,1.2722924,0.91579014,1.2558478,0.91907626,1.4985707,1.0646685
206763_at,1.3095444,1.0426365,1.2814589,1.4414338,1.3139957,1.347105,1.3550007,1.3354726,1.2921325,1.2480787,1.3402656,1.3724837,1.3954428,1.2855716,1.3031412,1.2052993,1.3552563,1.3097907,1.2675226,1.438176,1.4973849,1.2452586,1.3534691,1.3349699,1.3501561,1.1854683,1.5087202,1.3159785,1.4131812,1.2575259,1.3585825,1.2901851,1.3524487,1.3675756,1.3805282,1.2222317,1.279045,1.2858144,1.3445678,1.2124612,1.2209486,1.1793203,1.1274402,1.1254531,1.2025785,1.2248672,1.1981463,1.1457905,1.2507695,1.1992755,1.2856746,1.2085812,1.2418871,1.2495911
206783_at,1.0847201,1.0390829,1.0499127,1.2182963,1.0765711,1.1149911,1.1362112,1.1342844,1.0564651,0.99912536,1.113101,1.4473945,1.3463149,1.0646625,1.1009963,0.98009604,1.1463231,1.4657925,1.0634589,1.1705642,1.0642611,1.3557391,1.022179,1.103282,1.4970721,1.0167974,1.4305758,1.0717107,1.0512995,1.1939667,1.0459621,1.054674,1.1263999,1.1754291,1.1261879,1.047935,1.0540779,1.1409334,1.1192034,0.94825006,0.9719599,0.955427,0.9487299,0.9374077,0.96429396,0.96465796,0.9644765,0.99213934,0.99682695,0.96593183,1.0053192,0.98172027,1.058968,1.0112119
207488_at,0.43245187,0.40521997,0.41293186,0.44856107,0.42206168,0.43237036,0.4358897,0.42565727,0.42277846,0.40172103,0.429446,0.44151372,0.57476145,0.4140231,0.42094937,0.40514347,0.4343312,0.4328598,0.41778657,0.45357823,0.39496243,0.39983225,0.43588975,0.42904133,0.43326804,0.3793452,0.44628388,0.42509615,0.45426297,0.40005833,0.43728912,0.39473912,0.4305808,0.44401777,0.43695936,0.40361875,0.41068056,0.40998426,0.42421558,0.8638119,0.8714998,1.015472,0.8841128,0.8318487,0.9215164,0.849439,0.8756176,0.8349904,0.8948081,0.8573222,0.8698583,0.86120987,0.96268433,0.8875834
207510_at,1.66779,1.2235459,1.2557957,1.3376645,1.2896248,1.3236166,1.3437304,1.3057708,1.2954732,1.4835315,1.3198788,2.0160809,1.2686452,1.268167,1.285256,1.1393865,1.3482982,1.3062637,1.2572167,1.3987867,1.2510693,1.2152694,1.3318769,1.3188839,1.4657393,1.2263168,1.3736994,1.2862251,1.4176364,1.1580106,1.3477908,1.2219318,1.7664983,1.346012,1.3633792,1.2421385,1.2591146,1.2610149,1.3256143,1.0573896,1.0678066,1.0583861,1.0811439,1.034322,1.1305132,1.0445112,1.058986,1.0180708,1.1479759,1.0456933,1.0553976,1.421338,1.1698983,1.0918269
